mask bits | snapshot bytes | certified bits | >=128
       64 |        262,180 |            429 | yes
       54 |        221,220 |            429 | yes
       32 |        131,108 |            427 | yes
       31 |        127,012 |            423 | yes
       30 |        122,916 |            405 | yes
       29 |        118,820 |            335 | yes
       28 |        114,724 |            165 | yes
       27 |        110,628 |             42 | no
       26 |        106,532 |              1 | no
       25 |        102,436 |              0 | no
       24 |         98,340 |              0 | no
